	Health status of host	Habitat	host taxonomy ID	Check list type	Relevant e-resources	GCAT ID	longitude	collection date	observed biotic relationship	relationship to oxygen	trophic level	latitude	sample name	pathogenicity	strain	host	isolation source	geographic location	Nucleic acid preparation	source material identifiers	sub species	latitude and longitude	collected by	PFGE_SecondaryEnzyme_pattern	PFGE_PrimaryEnzyme_pattern	host disease	beta-lactamase family	lab host	carbapenemase	EDTA inhibitor tested	Pasteur sequence type	acquired carbapenemase	carbapenem susceptible/resistant	isolate name alias	sample type	type-material	reference for biomaterial	note	isolate	substrain	finishing strategy (depth of coverage)	project_type	estimated size	number of replicons	misc_param: HMP body site	nucleic acid extraction	investigation type	isolation and growth condition	assembly	environment feature	misc_param: HMP supersite	sequencing method	environment biome	sop	environment material	project name	environmental package	identified by	biomaterial provider	serovar	culture collection	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	serotype	host description	specimen voucher	genotype	host tissue sampled	host disease stage	host sex	pathotype	host disease outcome	host health state	passage history	host subject id	subtype	host age	subgroup	identification method	Laboratory Host	Passage Date	Extraction Method	Extraction Date	strain_name_alias	NMRC sample ID	organism modifier note	alternate strain name	supplier name	anonymized name	habitat	biovar	description	GenBank ID
SAMD00058707													RIMD 2210633		RIMD 2210633																																														RIMD:2210633			O3:K6																													BA000032.2
SAMD00060913													AP009351		Newman						aureus																																																																								NC_009641.1
SAMD00060922													AP009380		ATCC 33277																					type strain of Porphyromonas gingivalis																																																									AP009380.1
SAMD00060938													AP009608		PG18																																																																														NC_021002.1
SAMD00060942													AP008955		NBRC 100599																																																																							strain coidentity: NBRC 100599 = 47							NC_012491.1
SAMD00060998													AP012279		S23321																																																																														AP012279.1
SAMD00061069													AP006618-AP006620		IFM 10152																																																																														AP006618.1
SAMD00061074													AP006627		KSM-K16																																																																														NC_006582.1
SAMD00061081													AP009048		K-12																									W3110																																																					NC_007779.1
SAMD00061082													AP008230		Y51																																																																														NC_007907.1
SAMD00061099													BA000018.AP003139		N315						aureus																																																																								NC_002745.2
SAMD00061104													BA000033		MW2						aureus																																																																								NC_003923.1
SAMEA1705916	alive	animal-associated habitat	9606 (9606)	prokaryote	http://www.sanger.ac.uk/Projects/P_aeruginosa/	001388_GCAT	-2.9	1988	pathogen	aerobic	heterotroph (consumer)	53.4	ERS000071	human					Phenol/Chloroform																																																																										FM209186.1
SAMEA1705917	dead		8049 (8049)	prokaryote	http://www.sanger.ac.uk/Projects/V_salmonicida/	001693_GCAT	23.7		pathogen	facultative anaerobic	heterotroph	70.7	ERS000076	animal					Phenol/Chloroform																																																																							aquatic			FM178379.1
SAMEA1705921	alive	animal-associated habitat	9606 (9606)	prokaryote	http://www.sanger.ac.uk/Projects/M_leprae/	000565_GCAT	78		pathogen	aerobic	heterotroph	11	ERS000060	human					Phenol/Chloroform																																																																										AL450380.1
SAMEA1705929	alive	animal-associated habitat	9606 (9606)	prokaryote	http://www.sanger.ac.uk/Projects/C_jejuni/	000585_GCAT	-2		pathogen	aerobic	heterotroph	53	ERS000062	human					Phenol/Chloroform	NCTC 11168	jejuni																																																																								AL111168.1
SAMEA1705932	alive	animal-associated habitat	9606 (9606)	prokaryote	http://www.sanger.ac.uk/Projects/C_difficile/	000190_GCAT	8.5	1982	pathogen	obligate anaerobic	heterotroph	47.4	ERS000041	human																																																																															AM180355.1
SAMEA1705935	alive	animal-associated habitat	9606 (9606)	prokaryote	http://www.sanger.ac.uk/Projects/S_aureus/	000416_GCAT	-2	1998	pathogen	facultative anaerobic	heterotroph	53	ERS000049	human					Phenol/Chloroform	NARSA NRS72	aureus																																																																								NC_002952.2
SAMEA1705955	alive	animal-associated habitat	9913 (9913)	prokaryote	http://www.sanger.ac.uk/Projects/M_bovis/	000472_GCAT	-2	1997	pathogen	aerobic	heterotroph	53	ERS000055	animal					Phenol/Chloroform																																																																										BX248333.1
SAMEA2057234													ERS222037																																																																																CXOC01000011.1
SAMEA2272237													ERS379683		ETEC H10407																																															2013-12-19	2013-12-09																														FN649414.1
SAMEA2272432													ERS379856		UT205																																															2013-12-19	2013-12-09																														HE608151.1
