Specimen_Collection_Date,Specimen_Collection_Location,Specimen_Collection_Location_Country,Specimen_Collection_Location_Longitude,Gene_Symbol,Specimen_Collection_Location_Latitude
"",,,,aac(1),
"",,,,aac(2'),
"",,,,aac(2'),
"",,,,aac(2'),
"",,,,aac(2'),
"",,,,aac(2'),
"",,,,aac(2'),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3)-ib/aac(6'),
"",,,,aac(3),
2014," MD",United States of America,-76.9382069,aac(3),39.5162234
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(6'),
"",,Greece,,aac(6'),
"",,,,aac(6')-30/aac(6'),
09-Jan-2014," DC",United States of America,-77.0333239145,aac(6'),38.9298584
"",,,,aac(6'),
"",,,,aac(6'),
2007,Massachesetts,United States of America,,aac(6'),
"",,,,aac(6'),
2008,UnknownXXX,Ireland,-7.9794599,aac(6'),52.865196
"",,,,aac(6'),
"",,China,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,China,,aac(6')-ib,
"",,,,aac(6')-ib,
2012,UnknownXXX,China,104.999927,aac(6')-ib,35.000074
"",,,,aac(6')-ib,
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
2014," Coquimbo",Chile,-71.347,aac(6'),-29.95
"",,,,aac(6'),
2007,,,,aac(6')-ie_aph(2''),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
21-Jul-1999," Buffalo, NY",United States of America,-78.8784,aac(6'),42.8864
2013," Guangzhou",China,113.26,aac(6'),23.13
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
"",,,,aac(6'),
2006," Medellin",Colombia,-75.5735,aac(6'),6.2443
24-Aug-1995," Buffalo, NY",United States of America,-78.8784,ant(2''),42.8864
not determined,,,,ant(3''),
1993/1994,N. Rhine Westphalia,Denmark,,ant(3''),
1996,Pribram,Czech Republic,,ant(3''),
"",,,,ant(3'')-ii-aac(6'),
"",,,,ant(4'),
"",,,,ant(4'),
"",,,,ant(4'),
1999,UnknownXXX,Peru,-75.0458515,ant(4'),-6.8699697
"",,,,ant(6),
"",,,,ant(6),
"",,,,ant(9),
1985," WA",United States of America,-120.2126139,aph(2''),47.2868352
2011," Shandong",China,118.9999999,aph(2''),36.0000001
"",,,,aph(2''),
"",,,,aph(2''),
"",,,,aph(2''),
"",,,,aph(3''),
2001,UnknownXXX,Ireland,-7.9794599,aph(3''),52.865196
"",,,,aph(3''),
"",,,,aph(3'),
2006/2012,UnknownXXX,Netherlands,5.53460738162,aph(3'),52.2379891
"",,,,aph(3'),
"",,,,aph(3'),
"",,,,aph(3'),
1991,"Bendigo, Victoria",Australia,,aph(3'),
"",,,,aph(3'),
"",,,,aph(3'),
"",,,,aph(3'),
"",Northern,Israel,,aph(3'),
"",,,,aph(3'),
"",,,,aph(3'),
"",,,,aph(3'),
"",,,,aph(3'),
"",,,,aph(3'),
"",,,,aph(4),
"",,,,aph(4),
"",,,,aph(6),
"",,,,aph(6),
1986,UnknownXXX,Japan,139.2394179,aph(6),36.5748441
"",,,,aph(7''),
"",,,,aph(9),
2002,UnknownXXX,Costa Rica,-84.0739102,aph,10.2735633
"",,,,aac(6'),
"",,,,aac(3),
"",Frankfurt,Germany,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",,,,aac(3),
"",UnknownXXX,Australia,134.755,aac(3),-24.7761086
"",,,,aac(6),
"",,,,aac(6),
"",,,,aacA29b,
"",,,,aacA43,
"",,,,acrE,
"",,,,aph(3'),
2007," Sao Paulo",Brazil,-46.37,aph(3'),-23.33
"",,,,aph,
2004," Singapore General Hospital",Singapore,103.836280497,aph7,1.27944885
"",,,,aphA15,
"",,,,aphA6,
"",,,,axyZ,
"",,,,mphB,
"",,,,mphB,
07-Mar-2015," Fujian",China,117.842778,bahA,26.5450001
"",,,,bla1,
"",,,,bla2,
"",,,,crp,
"",,,,cpxR,
01-Nov-2010,UnknownXXX,United States of America,-100.4458825,cpxR,39.7837304
"",,,,ddl,
"",,,,tuf,
"",,,,tuf,
"",,,,tuf,
2006/2012,UnknownXXX,Netherlands,5.53460738162,tuf,52.2379891
"",,,,tuf,
"",,,,ereB,
"",,,,ermE,
"",,,,glpT,
"",,,,lpeA,
"",,,,lpeB,
1982,Nottingham,United Kingdom,,lpxA,
1982,Nottingham,United Kingdom,,lpxC,
"",,,,mcr,
2014,Pisa,Italy,,mcr,
"",,,,mcr,
22-Aug-2010," Tokachi area, Obihiro",Japan,142.69,mcr,43.41
2003,FL,United States of America,-81.4639835,mrx,27.7567667
"",,,,omp38,
"",,,,oprA,
"",,,,oprJ,
"",,,,oprN,
"",UnknownXXX,Ireland,-7.9794599,oprZ,52.865196
"",,,,porB,
"",,,,phoP,
"",,,,pmpM,
"",,,,pmrE,
"",,,,pmrF,
"",,,,qepA,
"",,,,qepA2,
"",,,,qnr,
"",,,,qnrA1,
"",,,,qnrA2,
"",,,,qnrA3,
"",,,,qnrA4,
"",,,,qnrA5,
"",,,,qnrA6,
"",UnknownXXX,United States of America,-100.4458825,qnrA7,39.7837304
"",,,,qnrB1,
2013,Hubei,China,112.0,qnrB10,31.0
"",,France,,qnrB11,
"",,,,qnrB12,
"",,Korea (South),,qnrB13,
"",,Korea (South),,qnrB14,
20-Nov-2014,UnknownXXX,Colombia,-73.9397,qnrB15,4.6013
"",,,,qnrB16,
"",,,,qnrB17,
"",,,,qnrB18,
"",,,,qnrB19,
"",,,,qnrB2,
