Source DB	GenBank ID	END3	END5	Gene Symbol	Allele	Drug Family	Drug Class	Sub Drug Class	Parent Allele	Parent Allele Family	SNP	Protein ID	Unirprot	Gene Aliases	Organism ID	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	STRAIN	Plasmid	Bioproject	Biosample
>CARD	U00096	2484373	2487967	evgS		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division/Major_Facilitator_Superfamily				AAC75429.1	P30855	evgS b2370 JW2367	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA225	SAMN02604091
>CARD	AP006618.1	4835199	4838688	rpoB2		Rifamycin						BAD59497.1	Q5YQP4	rpoB1 NFA_46460	247156	Actinobacteria	Actinobacteria 	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia farcinica	IFM		PRJNA13117	SAMD00061069
>CARD	AY769962	2434	5611	adeJ		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAX14802.1	Q24LT7	adeJ	470	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	BM4454			
>CARD	AB219524.1	1176	4338	mexQ		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				BAE06008.1	Q4LDT6	mexQ	287	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa				
>CARD	AF173226	3767	6917	smeB		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAD51345.1	Q9RBY8	smeB	40324	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia 	ULA-511			
>CARD	AB015853	1330	4471	mexY		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				BAA34300.1	Q9ZNG8	mexY	287	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	PAO1			
>CARD	L11616	1569	4710	mexB		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAA74437.1	P52002	mexB PA0426	208964	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	CD10			
>CARD	AFRQ01000061.1	23986	27124	axyY		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				EGP45231.1	F7T362	AXXA_16886	1003200	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter insuavis	AXX-A		PRJNA65117	SAMN02471472
>CARD	U57969	1485	4617	mexD		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAB41957.1	Q51396	mexD	287	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	PAO			
>CARD	U00096	2155262	2158385	mdtB		Aminoglycoside	Efflux_pump	Resistance-Nodulation_Cell_Division				AAC75136.1	P76398	mdtB yegN b2075 JW2060	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA225	SAMN02604091
>CARD	CP000768	1406494	1409617	cmeB		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				ABS43151.1	A7H510	cmeB JJD26997_1591	360109	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	269		PRJNA17163	SAMN02604056
>CARD	AJ252200	1278	4401	smeE		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				CAC14595.1	Q9F240	smeE	40324	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia 				
>CARD	U00096	3660413	3663527	mdtF		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAC76539.1	P37637	mdtF yhiV b3514 JW3482	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA225	SAMN02604091
>CARD	AB219523.1	1175	4286	mexN		Phenicol	Efflux_pump	Resistance-Nodulation_Cell_Division				BAE06006.1	Q4LDT8	mexN	287	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa				
>CARD	U00096	3415032	3418137	acrF		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAC76298.1	P24181	acrF envD b3266 JW3234	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA225	SAMN02604091
>CARD	U97042	1263	4347	ceoB		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAB58161.1	O06471	ceoB	292	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia 	K61-3			
>CARD	AE004091.2	4116187	4119265	mexK		Multi-drug_resistance	Efflux_pump	Resistance-Nodulation_Cell_Division				AAG07064.1	Q9HXW4	PA3676	208964	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	PAO1		PRJNA331	SAMN02603714
>CARD	U00096	2158385	2161463	mdtC		Aminocoumarin	Efflux_pump	Resistance-Nodulation_Cell_Division				AAC75137.1	P76399	mdtC yegO b2076 JW2061	83333	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	K-12		PRJNA225	SAMN02604091
>CARD	CR628336.1	3281865	3284910	LpeB		Macrolide	Efflux_pump	Resistance-Nodulation_Cell_Division				CAH14033.1										Paris		PRJNA13127	SAMEA3138252
>CARD	KX531052.1	0	2655	rphB		Rifamycin						APB03222.1	A0A1I9ZL18	rphB AK95_09435	1120679	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. LC231	LC231			
>CARD	AE014292	568280	570923	mprF_(B._suis)		Multi-drug_resistance	Defensin					AAN33774.1										1330		PRJNA320	SAMN02603682
